OBJECTID,STATE_ABBR,STATE_FIPS,COUNTY_FIPS,STCOFIPS,TRACT_FIPS,FIPS,POPULATION,POP_SQMI,SQMI,POPULATION_2020,POP20_SQMI,Shape_Length,Shape_Area
1,NV,32,031,32031,001504,32031001504,3667,6548.2,0.56,3636,6492.9,0.059805449,0.000151267
2,NV,32,031,32031,001015,32031001015,4643,2321.5,2,4677,2338.5,0.131343191,0.000543031
3,NV,32,031,32031,003503,32031003503,4257,531.5,8.01,4348,542.8,0.354772842,0.002175668
4,NV,32,031,32031,002902,32031002902,4123,6650,0.62,4267,6882.3,0.054120523,0.000167085
5,NV,32,031,32031,000401,32031000401,2906,4687.1,0.62,2960,4774.2,0.061037796,0.000169075
6,NV,32,031,32031,000301,32031000301,1596,6138.5,0.26,1622,6238.5,0.040417117,7.1355E-05
7,NV,32,031,32031,002408,32031002408,3004,3952.6,0.76,3071,4040.8,0.068380413,0.000205816
8,NV,32,031,32031,002621,32031002621,1987,346.2,5.74,2037,354.9,0.263600237,0.00155853
9,NV,32,031,32031,001104,32031001104,4417,2868.2,1.54,4505,2925.3,0.113711381,0.000418309
10,NV,32,031,32031,002411,32031002411,4339,4616,0.94,4348,4625.5,0.071150181,0.000254238
11,NV,32,031,32031,002901,32031002901,3615,6572.7,0.55,3696,6720,0.058094101,0.000149464
12,NV,32,031,32031,003511,32031003511,5568,2993.5,1.86,5588,3004.3,0.092179453,0.000505404
13,NV,32,031,32031,002212,32031002212,4295,11012.8,0.39,4293,11007.7,0.047569712,0.000107042
14,NV,32,031,32031,003518,32031003518,3809,2505.9,1.52,3735,2457.2,0.087948827,0.000414078
15,NV,32,031,32031,003516,32031003516,4020,102.4,39.26,3702,94.3,0.609939195,0.010669383
16,NV,32,031,32031,001018,32031001018,2867,19113.3,0.15,2703,18020,0.029961779,4.1595E-05
17,NV,32,031,32031,002104,32031002104,3436,1126.6,3.05,3477,1140,0.165867044,0.000828128
18,NV,32,031,32031,002616,32031002616,5224,7682.4,0.68,5247,7716.2,0.07055363,0.000184704
19,NV,32,031,32031,001101,32031001101,2897,4672.6,0.62,2956,4767.7,0.060935001,0.000168834
20,NV,32,031,32031,003001,32031003001,3726,7165.4,0.52,3859,7421.2,0.06363114,0.00014074
21,NV,32,031,32031,002622,32031002622,3988,2712.9,1.47,3900,2653.1,0.092598258,0.000398384
22,NV,32,031,32031,002105,32031002105,4235,7178,0.59,4029,6828.8,0.090451429,0.000158923
23,NV,32,031,32031,002106,32031002106,3368,7321.7,0.46,3462,7526.1,0.049085426,0.000124607
24,NV,32,031,32031,001019,32031001019,2030,25375,0.08,2049,25612.5,0.023615282,2.22531E-05
25,NV,32,031,32031,003105,32031003105,2228,4546.9,0.49,2278,4649,0.048180086,0.000133342
26,NV,32,031,32031,001103,32031001103,5416,1172.3,4.62,5500,1190.5,0.196431076,0.001253498
27,NV,32,031,32031,001013,32031001013,6792,444.5,15.28,6604,432.2,0.301073519,0.004140429
28,NV,32,031,32031,003517,32031003517,5920,3609.8,1.64,5839,3560.4,0.112434032,0.000444482
29,NV,32,031,32031,002610,32031002610,5653,3511.2,1.61,5753,3573.3,0.102461837,0.000436544
30,NV,32,031,32031,001017,32031001017,1039,17316.7,0.06,1057,17616.7,0.017844897,1.61877E-05
31,NV,32,031,32031,002401,32031002401,4009,4310.8,0.93,4095,4403.2,0.083337312,0.000252698
32,NV,32,031,32031,002207,32031002207,5564,2649.5,2.1,5280,2514.3,0.105243246,0.000568143
33,NV,32,031,32031,003002,32031003002,3255,9041.7,0.36,3278,9105.6,0.040943394,9.66254E-05
34,NV,32,031,32031,001400,32031001400,3030,7769.2,0.39,3006,7707.7,0.045890237,0.000104561
35,NV,32,031,32031,980000,32031980000,155,38.9,3.98,167,42,0.157581396,0.00107908
36,NV,32,031,32031,002801,32031002801,5411,4294.4,1.26,4912,3898.4,0.10151955,0.000341882
37,NV,32,031,32031,002707,32031002707,5118,2751.6,1.86,5192,2791.4,0.133808251,0.000504385
38,NV,32,031,32031,001014,32031001014,3420,1147.7,2.98,3433,1152,0.168249474,0.000808454
39,NV,32,031,32031,002614,32031002614,6948,7471,0.93,4357,4684.9,0.12029433,0.000251935
40,NV,32,031,32031,003108,32031003108,3222,4130.8,0.78,3297,4226.9,0.060031953,0.000212915
41,NV,32,031,32031,002213,32031002213,6159,7603.7,0.81,6004,7412.3,0.059385544,0.00021926
42,NV,32,031,32031,001802,32031001802,3217,8936.1,0.36,3280,9111.1,0.04689831,9.63575E-05
43,NV,32,031,32031,000103,32031000103,1139,3350,0.34,1161,3414.7,0.043653237,9.12657E-05
44,NV,32,031,32031,002802,32031002802,5402,9821.8,0.55,5509,10016.4,0.057838769,0.000150591
45,NV,32,031,32031,003521,32031003521,2461,4034.4,0.61,2511,4116.4,0.052274046,0.000164927
46,NV,32,031,32031,002706,32031002706,5025,4740.6,1.06,5120,4830.2,0.071304852,0.000286776
47,NV,32,031,32031,001801,32031001801,3209,9438.2,0.34,3549,10438.2,0.038578324,9.31077E-05
48,NV,32,031,32031,001501,32031001501,5213,3671.1,1.42,5194,3657.7,0.095628593,0.000385482
49,NV,32,031,32031,003519,32031003519,5514,599.3,9.2,5011,544.7,0.262510313,0.002501055
50,NV,32,031,32031,002215,32031002215,2797,2975.5,0.94,2682,2853.2,0.081308442,0.000254712
51,NV,32,031,32031,003522,32031003522,5301,3292.5,1.61,3588,2228.6,0.100157667,0.000437755
52,NV,32,031,32031,001105,32031001105,3879,2409.3,1.61,3928,2439.8,0.111131744,0.000435592
53,NV,32,031,32031,001201,32031001201,3067,1723,1.78,3009,1690.4,0.157575846,0.000481767
54,NV,32,031,32031,002211,32031002211,3960,5351.4,0.74,3862,5218.9,0.076397812,0.000200302
55,NV,32,031,32031,003520,32031003520,3541,1595,2.22,2559,1152.7,0.112144572,0.000604432
56,NV,32,031,32031,980200,32031980200,0,0,27.16,0,0,0.562792567,0.007375732
57,NV,32,031,32031,001503,32031001503,5093,8214.5,0.62,5157,8317.7,0.052957343,0.000169499
58,NV,32,031,32031,002615,32031002615,5009,2963.9,1.69,4606,2725.4,0.093967178,0.000459072
59,NV,32,031,32031,003109,32031003109,3310,3894.1,0.85,3374,3969.4,0.06895632,0.000231565
60,NV,32,031,32031,001704,32031001704,3043,5433.9,0.56,2984,5328.6,0.064014194,0.000153111
61,NV,32,031,32031,002204,32031002204,5207,3337.8,1.56,5314,3406.4,0.087063592,0.000422906
62,NV,32,031,32031,003514,32031003514,2980,1091.6,2.73,3052,1117.9,0.110827935,0.000743002
63,NV,32,031,32031,002611,32031002611,6917,1403,4.93,6130,1243.4,0.177456087,0.00133989
64,NV,32,031,32031,000105,32031000105,2911,3830.3,0.76,2903,3819.7,0.085631407,0.000206891
65,NV,32,031,32031,002413,32031002413,3039,6753.3,0.45,3100,6888.9,0.051483671,0.000121544
66,NV,32,031,32031,003507,32031003507,4171,3044.5,1.37,4225,3083.9,0.075621628,0.000372082
67,NV,32,031,32031,002208,32031002208,3505,2804,1.25,3296,2636.8,0.085372191,0.000339552
68,NV,32,031,32031,002406,32031002406,5027,5914.1,0.85,5132,6037.6,0.066149716,0.000231197
69,NV,32,031,32031,002412,32031002412,2474,1005.7,2.46,2534,1030.1,0.179771392,0.000668131
70,NV,32,031,32031,003106,32031003106,7311,8601.2,0.85,7595,8935.3,0.062338748,0.000229945
71,NV,32,031,32031,000202,32031000202,2634,8231.3,0.32,2687,8396.9,0.050629159,8.65682E-05
72,NV,32,031,32031,003512,32031003512,4660,1543,3.02,4746,1571.5,0.133821686,0.0008189
73,NV,32,031,32031,002407,32031002407,3991,4587.4,0.87,4064,4671.3,0.080893154,0.000236561
74,NV,32,031,32031,000702,32031000702,3455,6910,0.5,3429,6858,0.050949741,0.000136006
75,NV,32,031,32031,001701,32031001701,3673,7346,0.5,3320,6640,0.046975258,0.000136645
76,NV,32,031,32031,002500,32031002500,4984,2582.4,1.93,5090,2637.3,0.117878162,0.00052397
77,NV,32,031,32031,002705,32031002705,5302,572.6,9.26,5238,565.7,0.315763458,0.00251653
78,NV,32,031,32031,002214,32031002214,2953,1176.5,2.51,2693,1072.9,0.129853422,0.000679382
79,NV,32,031,32031,001703,32031001703,3953,9193,0.43,3730,8674.4,0.044718695,0.000115801
80,NV,32,031,32031,980100,32031980100,0,0,5.88,0,0,0.188488462,0.001599054
81,NV,32,031,32031,001011,32031001011,4284,1482.4,2.89,4148,1435.3,0.118174973,0.00078375
82,NV,32,031,32031,002703,32031002703,2765,1403.6,1.97,2723,1382.2,0.108756712,0.000533869
83,NV,32,031,32031,002216,32031002216,2687,3053.4,0.88,2655,3017,0.066301853,0.000238659
84,NV,32,031,32031,003510,32031003510,3639,5273.9,0.69,3692,5350.7,0.073271326,0.000187986
85,NV,32,031,32031,003110,32031003110,5392,7702.9,0.7,5186,7408.6,0.067167069,0.000190457
86,NV,32,031,32031,000402,32031000402,2318,4214.5,0.55,2324,4225.5,0.053735497,0.000149137
87,NV,32,031,32031,003111,32031003111,2127,269.6,7.89,2357,298.7,0.291753429,0.002141522
88,NV,32,031,32031,001203,32031001203,3626,12086.7,0.3,3199,10663.3,0.042181382,8.06646E-05
89,NV,32,031,32031,003513,32031003513,4724,978.1,4.83,4280,886.1,0.21963244,0.001311856
90,NV,32,031,32031,001204,32031001204,1765,3530,0.5,1763,3526,0.064347212,0.000136456
91,NV,32,031,32031,001901,32031001901,4738,11556.1,0.41,4749,11582.9,0.053510882,0.000110388
92,NV,32,031,32031,003508,32031003508,4392,2453.6,1.79,4279,2390.5,0.105319207,0.000485206
93,NV,32,031,32031,001903,32031001903,3840,10666.7,0.36,3873,10758.3,0.049167269,9.86168E-05
94,NV,32,031,32031,002612,32031002612,3980,254.5,15.64,4057,259.4,0.353931987,0.004250965
95,NV,32,031,32031,000701,32031000701,2701,7107.9,0.38,2593,6823.7,0.04272541,0.000102392
96,NV,32,031,32031,001300,32031001300,3583,5873.8,0.61,3658,5996.7,0.069137287,0.000166473
97,NV,32,031,32031,001904,32031001904,2446,10191.7,0.24,2399,9995.8,0.035884855,6.56909E-05
98,NV,32,031,32031,000104,32031000104,2553,11604.5,0.22,2551,11595.5,0.047088853,5.83504E-05
99,NV,32,031,32031,002704,32031002704,5073,2427.3,2.09,4835,2313.4,0.111870646,0.000567245
100,NV,32,031,32031,001016,32031001016,2450,9074.1,0.27,2343,8677.8,0.035927989,7.22209E-05
101,NV,32,031,32031,002603,32031002603,1524,230.6,6.61,1555,235.2,0.207806699,0.001797941
102,NV,32,031,32031,000302,32031000302,2232,6975,0.32,2138,6681.3,0.044860051,8.78306E-05
103,NV,32,031,32031,000201,32031000201,3431,8169,0.42,3329,7926.2,0.046592489,0.000112636
104,NV,32,031,32031,002623,32031002623,3433,1335.8,2.57,3498,1361.1,0.125712154,0.00069725
105,NV,32,031,32031,002620,32031002620,4001,1739.6,2.3,3993,1736.1,0.143279048,0.000624312
106,NV,32,031,32031,002107,32031002107,1876,1934,0.97,1828,1884.5,0.083401889,0.000262119
107,NV,32,031,32031,002618,32031002618,7020,242.8,28.91,6302,218,0.592140052,0.007860062
108,NV,32,031,32031,002613,32031002613,6819,723.1,9.43,6546,694.2,0.320499863,0.0025659
109,NV,32,031,32031,001012,32031001012,3620,864,4.19,3375,805.5,0.151778226,0.001134435
110,NV,32,031,32031,002303,32031002303,3329,430.1,7.74,3104,401,0.286014761,0.00209976
111,NV,32,031,32031,000106,32031000106,1147,5735,0.2,696,3480,0.041582317,5.45446E-05
112,NV,32,031,32031,000900,32031000900,5271,11458.7,0.46,5087,11058.7,0.046117307,0.00012538
113,NV,32,031,32031,002409,32031002409,4585,1871.4,2.45,4618,1884.9,0.114938653,0.000664506
114,NV,32,031,32031,001005,32031001005,3198,3331.3,0.96,3206,3339.6,0.07221889,0.00025969
